Index	speed (m/s)



1	3.170

2	3.198

3	3.188

4	3.153

5	3.164

6	3.214

7	3.095

8	3.078

9	3.193

10	3.113

11	3.153

12	3.119

13	3.154

14	3.108

15	3.160

16	3.203

17	3.142

18	3.239

19	3.220

20	3.105

21	3.207

22	3.179

23	3.173

24	3.173

25	3.068

26	3.154

27	3.150

28	3.214

29	3.148

30	3.142

31	3.138

32	3.098

33	3.109

34	3.141

35	3.187

36	3.169

37	3.148

38	3.179

39	3.140

40	3.178

41	3.114

42	3.087

43	3.150

44	3.116

45	3.196

46	3.175

47	3.119

48	3.190

49	3.144

50	3.109

51	3.113

52	3.174

53	3.198

54	3.142

55	3.160

56	3.094

57	3.095

58	3.101

59	3.186

60	3.099

61	3.183

62	3.141

63	3.158

64	3.149

65	3.157

66	3.175

67	3.113

68	3.085

69	3.127

70	3.149

71	3.192

72	3.156

73	3.171

74	3.116

75	3.209

76	3.196

77	3.050

78	3.155

79	3.125

80	3.123

81	3.209

82	3.147

83	3.106

84	3.164

85	3.190

86	3.141

87	3.135

88	3.112

89	3.188

90	3.193

91	3.171

92	3.182

93	3.139

94	3.101

95	3.174

96	3.154

97	3.167

98	3.159

99	3.183

100	3.111

